property_id,district,property_type,total_price,condo_fee,area,bedroom_qnt,bathroom_qnt,parking_spaces_qnt,sq_m_price
2780836549,tucuruvi,2,465000.0,800.0,60.0,2.0,2.0,2.0,7750
2692355468,tucuruvi,2,380000.0,235.0,48.5,2.0,1.0,1.0,7835
2751672233,tucuruvi,2,520000.0,690.0,52.0,2.0,2.0,2.0,10000
2781880759,tucuruvi,2,330000.0,150.0,86.0,3.0,1.0,2.0,3837
2719740557,tucuruvi,2,550000.0,850.0,68.0,2.0,2.0,2.0,8088
2779241941,tucuruvi,2,725000.0,700.0,62.0,2.0,2.0,1.0,11694
2783008277,tucuruvi,1,340000.0,1.0,45.0,2.0,1.0,1.0,7556
2754863002,tucuruvi,2,295000.0,1.0,46.0,2.0,1.0,0.0,6413
2783004299,tucuruvi,1,660000.0,0.0,130.0,3.0,4.0,2.0,5077
2748930219,tucuruvi,1,589000.0,0.0,219.0,3.0,4.0,1.0,2689
2765316724,tucuruvi,1,420000.0,150.0,54.0,2.0,2.0,1.0,7778
2732133521,tucuruvi,1,480000.0,0.0,70.0,3.0,3.0,1.0,6857
2783006945,tucuruvi,1,580000.0,212.0,88.0,3.0,4.0,3.0,6591
2783007057,tucuruvi,2,250000.0,250.0,29.0,1.0,1.0,0.0,8621
2743925362,tucuruvi,1,1100000.0,0.0,132.0,3.0,4.0,2.0,8333
2780774725,tucuruvi,2,360000.0,200.0,43.0,2.0,1.0,0.0,8372
2783006963,tucuruvi,2,360000.0,740.0,63.0,2.0,1.0,1.0,5714
2774408846,tucuruvi,1,620000.0,0.0,290.0,2.0,2.0,3.0,2138
2783009780,tucuruvi,1,380000.0,0.0,45.0,2.0,1.0,1.0,8444
2753089204,tucuruvi,2,280000.0,0.0,43.0,2.0,2.0,0.0,6512
2732133226,tucuruvi,1,780000.0,0.0,98.0,3.0,2.0,5.0,7959
2723506873,tucuruvi,2,340000.0,50.0,48.0,2.0,1.0,0.0,7083
2569185125,tucuruvi,1,850000.0,0.0,85.0,3.0,3.0,2.0,10000
2783009168,tucuruvi,1,630000.0,0.0,65.0,2.0,1.0,2.0,9692
2783003612,tucuruvi,1,430000.0,170.0,64.0,2.0,2.0,2.0,6719
2731213021,tucuruvi,1,798000.0,1.0,180.0,3.0,4.0,2.0,4433
2733375859,tucuruvi,2,1090000.0,990.0,120.0,2.0,2.0,1.0,9083
2562625830,tucuruvi,1,950000.0,0.0,131.0,3.0,4.0,2.0,7252
2758319213,tucuruvi,2,1080000.0,1694.0,122.0,3.0,4.0,3.0,8852
2731213021,tucuruvi,1,798000.0,1.0,180.0,3.0,4.0,2.0,4433
2775923781,tucuruvi,2,293000.0,115.0,39.5,2.0,1.0,0.0,7418
2777309618,tucuruvi,2,349920.0,50.0,42.0,2.0,1.0,0.0,8331
2779335753,tucuruvi,1,730000.0,0.0,220.0,4.0,3.0,3.0,3318
2779129396,tucuruvi,2,495000.0,500.0,58.0,2.0,2.0,2.0,8534
2771300727,tucuruvi,1,650000.0,0.0,136.0,3.5,3.5,2.0,4779
2756333856,tucuruvi,2,680000.0,960.0,82.0,3.0,2.0,2.0,8293
2783007838,tucuruvi,1,370000.0,150.0,35.0,2.0,1.0,0.0,10571
